,target,feature,weight
0,2,פירות,3.270696685865141
1,2,כולן,2.9263166196453545
2,2,טומאה,2.7430313946096483
3,2,כולה,2.645847401261961
4,2,מותרין,2.4134791544742913
5,2,לאכול,2.277969354849382
6,2,חומר,2.1573341262341423
7,2,כאילו,2.1301801081133513
8,2,חולין,2.100314539630848
9,2,כולו,1.8164661570246003
10,2,ברבי,1.8071264252985644
11,2,כוכבים,1.7451781042969443
12,2,ליתן,1.735595838483056
13,2,תהילים,1.71159291160065
14,2,טומאת,1.644912751856011
15,2,הטומאה,1.6227832715479238
16,2,חושש,1.5715799881880976
17,2,מקודשת,1.3745580624573828
18,2,חייבור,1.2115805397145494
19,2,מותר,1.144033872178524
20,2,ספיקו,1.0482540109589147
21,2,נחלקו,0.7844575207826958
22,2,וגו,0.7653110659053112
23,2,אוכלין,0.6200676521486606
24,2,בלבד,0.6046720539439808
25,2,עבודת,0.5555269993709738
26,2,אותן,0.5532623976129881
27,2,הימנו,0.5474151066688848
28,2,משם,0.52317486643494
29,2,אחרים,0.5198585412232166
30,2,עליהן,0.4888490198223575
31,2,גבי,0.4867004419388349
32,2,לאו,0.47413576491953546
33,2,אמורים,0.45303997525533146
34,2,אלעזר,0.43389781820126466
35,2,במה,0.41399157021119
36,2,שמעון,0.40885782595276016
37,2,תלמוד,0.3878074134744599
38,2,נתן,0.37639410248945576
39,2,ובין,0.3190531669125703
40,2,אין,0.3166589566928914
41,2,צריך,0.3073055159692634
42,2,כן,0.30530993262808176
43,2,הרי,0.2944460546970452
44,2,אחר,0.2682383889129357
45,2,ואין,0.266359341329173
46,2,כך,0.2626974247640624
47,2,יוסי,0.25927817484348165
48,2,בהן,0.2463162659084717
49,2,דבר,0.23646848566595333
50,2,פי,0.20692303371965234
51,2,פסח,0.20259544864661005
52,2,הארץ,0.20124690780278168
53,2,יהודה,0.19133589027281336
54,2,מהן,0.18252783270251555
55,2,מה,0.1824655407402826
56,2,מפני,0.16814317218417235
57,2,אפילו,0.1652319197079859
58,2,זו,0.15388465164708584
59,2,שלא,0.15369754149812123
60,2,לך,0.13673722202037292
61,2,זה,0.11198307899145955
62,2,הן,0.10767272687339864
63,2,שאין,0.10308328065715874
64,2,משום,0.09986787542674001
65,2,אותו,0.09591364682633267
66,2,ורבי,0.09356972240163777
67,2,ישראל,0.0918252342075972
68,2,עם,0.08298221763784208
69,2,עליו,0.07210388563829583
70,2,חייב,0.07161747874373074
71,2,אלא,0.07054593175098525
72,2,הוא,0.06171656091037178
73,2,בין,0.060200878071137325
74,2,היה,0.05383122392384289
75,2,של,0.04277098069457273
76,2,בן,0.027192569349429718
77,2,לו,0.025794203496141106
78,2,בו,0.0205219765898645
79,2,אמר,0.011294730851041289
80,2,אומר,0.006436431720378972
81,2,לומר,-0.002543106633844497
82,2,לא,-0.015241485558644366
83,2,על,-0.01839643379346379
84,2,את,-0.03574638587066171
85,2,אחד,-0.046262822493586625
86,2,אף,-0.04711230456035751
87,2,כל,-0.04799832835671492
88,2,דברים,-0.06970938576423037
89,2,שנאמר,-0.08402265457475727
90,2,לי,-0.08552401362854087
91,2,רבי,-0.10490649547563859
92,2,אם,-0.12052659441289057
93,2,אבל,-0.12754256275408463
94,2,<BIAS>,-1.2509258815014652
95,2,כתבתה,-1.7320257880444547
96,2,הטמאה,-1.771187966807914
97,2,לאכל,-1.7979828665859565
98,2,פרות,-2.646689855854761
99,2,כלן,-2.964611234595386
100,2,מתר,-3.0472880423020134
