,target,feature,weight
0,2,טומאה,2.379080550873471
1,2,כולן,2.070275528818616
2,2,פירות,2.0450044032884005
3,2,ברבי,1.9255127907100453
4,2,כוכבים,1.5723182294175326
5,2,כולה,1.535718388199104
6,2,מודים,1.354383025420192
7,2,כאילו,1.344255777028668
8,2,לאכול,1.3366550412406304
9,2,טומאת,1.2884643770381348
10,2,חומר,1.2711660103649003
11,2,מותרין,1.2577948116180522
12,2,חושש,1.250421402074896
13,2,כתובה,1.239698117703359
14,2,מקודשת,1.2044140068232891
15,2,נחלקו,1.2039073692300442
16,2,שתיהן,1.193993013353185
17,2,חולין,1.183456648513256
18,2,בלבד,1.1022547860148848
19,2,מעוברת,1.0989610910756398
20,2,תהילים,1.0926688330660737
21,2,מהו,1.0810323743945491
22,2,וגו,1.0804350695304248
23,2,מרובה,1.051852261271645
24,2,עיסה,1.0451788572915348
25,2,כתובת,1.0448402005800708
26,2,אומרין,1.0333439525057175
27,2,הקומץ,1.0300439646592277
28,2,מותר,1.0299847398552213
29,2,מותרת,1.0209648329965868
30,2,מחיצה,1.0067414742649097
31,2,ליתן,0.9677275716744174
32,2,העומר,0.9646405696883867
33,2,גיטך,0.9605582873317583
34,2,לאו,0.9500821380904311
35,2,עלו,0.9391325908270259
36,2,בניסן,0.934753055253947
37,2,כולו,0.9266482697202991
38,2,בגבולין,0.9255397448657703
39,2,מותרות,0.9224389554743104
40,2,פועלין,0.9195239188932809
41,2,ואצ,0.9194641597380616
42,2,כולם,0.9132796908821079
43,2,שעורין,0.9112019332219289
44,2,הגורן,0.9081433418888796
45,2,בטומאה,0.9044178240599303
46,2,מודה,0.8966062168252579
47,2,קיימת,0.8962397923109702
48,2,מעורבין,0.8785438428437825
49,2,כתובתה,0.8740960693908311
50,2,שאם,0.8734579467457361
51,2,וטומאה,0.8704484932296648
52,2,הימנו,0.8675131216715947
53,2,מצורע,0.8610486086471478
54,2,אחרים,0.8599952116486663
55,2,חטאות,0.8532042014349013
56,2,בפנ,0.8502041339328196
57,2,גובה,0.8459736102539737
58,2,חבר,0.8406035705045709
59,2,הטומאה,0.8364589027730828
60,2,כשם,0.8340837094897973
61,2,סומכוס,0.8320755695205008
62,2,חודש,0.8290537567239603
63,2,וכולן,0.8239364950155695
64,2,שמונה,0.8225412510361875
65,2,מרשות,0.8192365185579373
66,2,קודם,0.8190895019290636
67,2,כלפי,0.8168338079500125
68,2,שיעורו,0.8135839888270963
69,2,וחומר,0.8112379521961152
70,2,מונה,0.8112253586713202
71,2,הפריש,0.8092450853497059
72,2,ונותן,0.8008911596675353
73,2,חייבור,0.7992355817367928
74,2,מחוסר,0.7962456540421662
75,2,מחשב,0.7955864052243434
76,2,דרבי,0.7955746744087023
77,2,מכן,0.7945078995126897
78,2,קיים,0.7811446066099808
79,2,כפים,0.7770047768372912
80,2,בשמים,0.7747244442759236
81,2,לקיים,0.7733248851618073
82,2,מיני,0.7728438036905968
83,2,שרץ,0.7718829971786993
84,2,שניהן,0.7698028753535919
85,2,הרשות,0.768702602287676
86,2,לוגין,0.7642755887025403
87,2,ותרומת,0.7630408339718703
88,2,רובע,0.7629409820721396
89,2,נכרים,0.7604215020793316
90,2,מתוקן,0.7564954140091754
91,2,תעובר,0.752485017892053
92,2,שתחתיו,0.7467369936298158
93,2,בקרקע,0.7433530769754096
94,2,פשה,0.7409107232006463
95,2,שנתן,0.7394782867272166
96,2,מינו,0.7379346256633476
97,2,בחודש,0.7292640106838244
98,2,נוטלת,0.7264892771492321
99,2,לגבי,0.7249138284598412
100,2,עיברה,0.7224997406019525
101,2,העמים,0.721914781745538
102,2,כדרך,0.7214199251000443
103,2,שיעור,0.7193783704160986
104,2,בכולן,0.7148564449387623
105,2,שאלת,0.7121699778319683
106,2,שעשה,0.7117155730495953
107,2,אוכלין,0.710539090490804
108,2,למכור,0.7081584271646215
109,2,לטומאה,0.7045924621584141
110,2,המנוגע,0.7031590779971557
111,2,המברך,0.7025820731074228
112,2,בחול,0.7025793866299511
113,2,מצלת,0.7007575961617539
114,2,עריבה,0.6984751657033618
115,2,סך,0.6938685911433425
116,2,אותן,0.6930212581835382
117,2,משם,0.6903682822053423
118,2,האוצר,0.6867811190467857
119,2,נראין,0.6855330345851396
120,2,נהגו,0.6761243195427865
121,2,ללוי,0.6750834173707685
122,2,בר,0.673053547517325
123,2,יב,0.6716587145974963
124,2,הנטיעות,0.6685009424940852
125,2,הפירות,0.6672129447167813
126,2,ועשו,0.666734096246659
127,2,חותם,0.6659945727540905
128,2,כתיפו,0.665866947887939
129,2,הרוב,0.6657959526716054
130,2,יותן,0.6643019448704255
131,2,בכולו,0.6606455964854441
132,2,מתים,0.6594679143650414
133,2,פועל,0.6566297539090757
134,2,לאנשים,0.6563111566601424
135,2,ודברי,0.6554581416262644
136,2,בראשון,0.6544561373260658
137,2,ומשקין,0.6481047164358648
138,2,לחזור,0.6479532047476507
139,2,חובתן,0.6452227137961044
140,2,ברוך,0.6441977376649298
141,2,קיימין,0.6429151574084238
142,2,בשאר,0.642727979089924
143,2,הרי,0.6420948556338587
144,2,מטלטלין,0.6405502059793924
145,2,הזבח,0.6394522937271763
146,2,בכזית,0.6375785379638651
147,2,נתן,0.6348454020144645
148,2,הכיפורים,0.632604936525269
149,2,טהרני,0.6321932455067868
150,2,כשיעור,0.6315261642972321
151,2,ארוכה,0.6305174691814939
152,2,טומטום,0.6299306918232648
153,2,מתוקנין,0.6292502223183452
154,2,שבמקדש,0.6281771355092052
155,2,זרעים,0.6272567104407092
156,2,שאור,0.6267028599276847
157,2,ודאי,0.6246273131799391
158,2,שכתוב,0.6243609034093325
159,2,טול,0.6239532329428178
160,2,לנשים,0.6238959054330858
161,2,יחזור,0.622876570535028
162,2,מקיים,0.6223888499759549
163,2,וחומש,0.6211178241853713
164,2,לששה,0.6197454154470733
165,2,אומרי,0.6162852469207206
166,2,למוצאי,0.6156155859713865
167,2,ארבי,0.6125147665980026
168,2,אחים,0.6124388868259454
169,2,גלח,0.6121330089154157
170,2,עליהן,0.6088318413411328
171,2,באחרונה,0.6058131192432075
172,2,רוב,0.6055040506142766
173,2,חמתה,0.6022342014717081
174,2,ויחזור,0.5990694327994246
175,2,לתרומת,0.5984038931056714
176,2,המוצנע,0.5974794691971472
177,2,ונוטלין,0.5971554340889992
178,2,הכותל,0.5961655834298754
179,2,אסורין,0.5949436086686454
180,2,לכולן,0.5928302197143543
181,2,כלב,0.5925348614326966
182,2,קורא,0.5924376353603872
183,2,אין,0.5898872441934017
