,target,feature,weight
0,2,חייב,2.7426668650220623
1,2,אעפ,2.5316952071905097
2,2,אפילו,2.2661025337026657
3,2,הז,2.0703257825203503
4,2,וחכא,1.9758420178609175
5,2,טומאה,1.9671849195392854
6,2,רא,1.795683349885464
7,2,רש,1.7806477728739356
8,2,כולן,1.6558420352022944
9,2,עקיבה,1.619865088887427
10,2,פירות,1.609510398826508
11,2,בש,1.5694463272928347
12,2,רשבג,1.5040712993341576
13,2,חבירו,1.4086633739022778
14,2,חייבין,1.3569780127050788
15,2,ור,1.3453057204489154
16,2,בר,1.3071748577905264
17,2,כוכבים,1.2596504182046742
18,2,בדא,1.2580387715154868
19,2,לאכול,1.2459547605830394
20,2,בד,1.2254685332270452
21,2,ואחכ,1.1710030039634702
22,2,שנא,1.141935521436347
23,2,טומאת,1.1348966765729258
24,2,כאילו,1.1082917629573814
25,2,לחבירו,1.0734456927656328
26,2,מותרין,1.072507702291488
27,2,חומר,1.0710012217011526
28,2,יוסי,1.063839720012129
29,2,אלעזר,1.059853690396383
30,2,אפי,1.0506306303068087
31,2,דברי,1.0376930343313173
32,2,יהודה,1.0289123017461161
33,2,וא,1.0244341082401762
34,2,רמ,0.9959012481034449
35,2,עג,0.9843601379115805
36,2,חושש,0.9757261184906532
37,2,מעוברת,0.9710985042985006
38,2,רע,0.9477895042912133
39,2,בלבד,0.9418240412725022
40,2,תהילים,0.9140345970206438
41,2,מחוסר,0.9038692077144285
42,2,חולין,0.9032118388357466
43,2,הרשות,0.8872227036520333
44,2,מחבירו,0.8697416970664903
45,2,שתיהן,0.8634304976675199
46,2,מודה,0.8624001686500715
47,2,מותרות,0.8478062663342346
48,2,כתובה,0.843097118086471
49,2,וחייבין,0.8404578220484374
50,2,וגו,0.839030740830167
51,2,מקודשת,0.8378237498428953
52,2,כתובת,0.8262579648701935
53,2,ביוט,0.823291015442617
54,2,הקומץ,0.8128860909911884
55,2,מותר,0.8126203756807059
56,2,בגבולין,0.8123450730753532
57,2,מונה,0.8118095349083335
58,2,פועלין,0.8079079672075585
59,2,אר,0.8059075298946888
60,2,הגורן,0.8033871047678454
61,2,וטומאה,0.7842119084731178
62,2,שנתן,0.7788441377161819
63,2,בחול,0.7749883768309417
64,2,חייבת,0.7716486007673874
65,2,חטאות,0.7712607073905765
66,2,נחלקו,0.7670673573061597
67,2,צא,0.7509459458221318
68,2,לאו,0.7488847055457983
69,2,כולה,0.7372646769851694
70,2,נוטלת,0.7335222422478141
71,2,ליתן,0.7322326859455791
72,2,תל,0.7292066616805843
73,2,אומרין,0.7271600885690931
74,2,חובתן,0.7212907930551394
75,2,בשאר,0.7160911280622579
76,2,מתוקן,0.7156133898983299
77,2,מחיצה,0.7127223412174186
78,2,מחייב,0.7015213891544688
79,2,עלו,0.6994552507528662
80,2,העומר,0.6985082125886029
81,2,שאם,0.6955448268810055
82,2,מודים,0.6928170820071399
83,2,ואצל,0.6912205277591221
84,2,קיימת,0.6892647340513283
85,2,אותן,0.6878063177702081
86,2,עמ,0.687119421542967
87,2,נכרים,0.685355102918514
88,2,אאכ,0.6805783737836482
89,2,בניסן,0.6791551618668177
90,2,נחמיה,0.6736168193663199
91,2,ונותן,0.6666341666180383
92,2,ברהר,0.6657334448926758
93,2,מטהר,0.6628860322333952
94,2,עיסה,0.6625285829292886
95,2,ארוכה,0.6621798221309932
96,2,מותרת,0.6613225821923745
97,2,פודה,0.6607862612596043
98,2,פירש,0.6560339622620405
99,2,רשבא,0.6554002993435757
100,2,עי,0.6548337820210407
101,2,הטומאה,0.6547135591033366
102,2,מלמטה,0.6519371262076162
103,2,ומותר,0.6473071402140179
104,2,לספר,0.6458699909180142
105,2,תשא,0.6425270687558058
106,2,ישמעאל,0.641298556456716
107,2,אומר,0.6391686260372832
108,2,אחרים,0.6370280987399838
109,2,פשה,0.6353453608265474
110,2,מצורע,0.6341278714318628
111,2,מיני,0.634048872500806
112,2,סומכוס,0.627951782137963
113,2,כשם,0.6260532460855248
114,2,מרובה,0.6233493836793098
115,2,למכור,0.6200762538591659
116,2,גיתה,0.6197705192692647
117,2,שדה,0.6133731635408297
118,2,מעורבין,0.6115209985521726
119,2,למוצאי,0.6106790913268798
120,2,שמונה,0.6099138050888625
121,2,כולם,0.6076842945773621
122,2,כולו,0.6074556745095347
123,2,מתוקנין,0.6062327963646827
124,2,שיעור,0.6037520823735811
125,2,הזבח,0.5995451028416977
126,2,חיבור,0.5994481513745964
127,2,תפיסתה,0.5979238146156194
128,2,ותפיסתה,0.5979238146156194
129,2,חם,0.5971964319033848
130,2,לאנשים,0.5962967857452046
131,2,האשפות,0.5961847187127909
132,2,יוחנן,0.5961454394699887
133,2,וחומש,0.5948415184280043
134,2,בל,0.5936139815420077
135,2,פסולין,0.5909317795863065
136,2,יוט,0.5904340005540897
137,2,המנוגע,0.5884695058091941
138,2,מכן,0.586649368763224
139,2,ובין,0.5855740798086211
140,2,שכתב,0.5844370539384773
141,2,קודם,0.5827208578094255
142,2,שניהן,0.5801673346489894
143,2,שחוטין,0.5796627998461792
144,2,עיברה,0.5776901740110325
145,2,מחשב,0.5743732665868754
146,2,בכולו,0.5714397847762812
147,2,מינו,0.5687475276868816
148,2,נאמנת,0.5678781681660798
149,2,חבר,0.5674724916911225
150,2,מרשות,0.5670231728843441
151,2,בחודש,0.5669624401376872
152,2,ודאי,0.5665939569975811
153,2,שיעורו,0.5656613217803945
154,2,ומשקין,0.5650986893330673
155,2,תעובר,0.560429579861926
156,2,שרץ,0.5599714504663511
157,2,כתובתה,0.5598356887777567
158,2,יהושע,0.5596984389896706
159,2,אין,0.5596763586416926
160,2,בעהב,0.5573825465026269
161,2,מעש,0.5563591065690981
162,2,משום,0.556263388177743
163,2,יב,0.5552445999603778
164,2,שמת,0.5552222297670362
165,2,בכולן,0.5530670184988543
166,2,שעורין,0.5520168253251705
167,2,וכולן,0.5519949582824829
168,2,עפ,0.5501735213510839
169,2,המברך,0.5470297877169032
170,2,רוחב,0.5469789026214901
171,2,בראשון,0.5468945226113467
172,2,לגבי,0.5413507423816114
173,2,יוצאין,0.5397997094781485
174,2,הימנו,0.5386658102585876
175,2,חנניא,0.5381933598779828
176,2,צריך,0.5365605565871061
177,2,לקיים,0.534670134703897
178,2,מהו,0.5341573468068587
179,2,וחייב,0.5338593951564721
180,2,יותן,0.5320857592984196
181,2,שהביא,0.5294161845117905
182,2,ומשתמש,0.5290935094407688
183,2,אוכלין,0.5278050555639164
184,2,ורש,0.5270838626789836
185,2,מביאה,0.5263240548797481
186,2,מקיים,0.5250734067971087
187,2,לארץ,0.5207118936826369
188,2,בכזית,0.5207082415414035
189,2,פתחו,0.5192952669466776
190,2,מתחלה,0.5192517377637855
191,2,גזל,0.5171314090118084
192,2,שבמקדש,0.5163834912740829
193,2,תשובה,0.5129962338546773
194,2,מברך,0.5129621953146929
195,2,גובה,0.5127972198891178
196,2,אסורין,0.5123394629763967
197,2,בלבי,0.5122031479132721
198,2,חותם,0.5097018800902764
199,2,ברש,0.5092710045807445
200,2,האמורי,0.5086908004091968
201,2,שביעית,0.5083971153291155
202,2,כפים,0.506103982584935
203,2,הקורא,0.5046886626893534
204,2,שאתה,0.5045773137604591
205,2,בכותל,0.5045208863470126
206,2,עליהן,0.5039396951429685
207,2,חמתה,0.5025824287944816
208,2,בעלי,0.5013037786673393
209,2,ומנחת,0.500464634183375
210,2,הקציר,0.4996602221571354
211,2,מהן,0.49926194842670474
212,2,שתחתיו,0.4974790033422102
213,2,חוצצת,0.4970508064920283
214,2,ושתוק,0.49635427819908695
215,2,נאמן,0.49632344244711957
216,2,לששה,0.4957856099505341
217,2,ספיקן,0.4951217343399966
218,2,רגלים,0.4944788272154818
219,2,בהלל,0.49402721739784294
220,2,קורא,0.4908142848845649
221,2,גיטך,0.4900924114329697
222,2,הכותל,0.48968822322497474
223,2,ליטול,0.4887729152088395
224,2,קיים,0.488588417452381
225,2,שאלת,0.488388684920869
226,2,הפריש,0.48826529976657584
227,2,עולם,0.4879507664025458
228,2,זמן,0.4870374744144349
229,2,שמין,0.4859009622296731
230,2,ברכת,0.4827494898123029
231,2,ובאו,0.48197349942329787
232,2,ואפילו,0.48132686506241074
233,2,התפלה,0.4810431981832881
234,2,לנשים,0.48086329437482334
235,2,מלך,0.4804717866764934
236,2,כהונה,0.47943833664697244
237,2,ללוי,0.4786872009066534
238,2,באחרונה,0.4785572915761446
239,2,למדנו,0.47849015095688585
240,2,העמים,0.47847237039390245
241,2,כדרך,0.4783706787942041
242,2,טהרת,0.4783023611641867
243,2,האלה,0.477385816172854
244,2,הרוב,0.4769094713310036
245,2,בגדיו,0.47655695786970703
246,2,אליעזר,0.4761445129738251
247,2,חודש,0.47607560535530763
248,2,אבי,0.4751999412545397
249,2,עתיד,0.4746811054742244
250,2,מימי,0.4745691841810748
251,2,הקדיש,0.4737548997285959
252,2,וכמה,0.47180545868296514
253,2,מפסיקין,0.47147671549704645
254,2,כיון,0.47112603626850036
255,2,קיימא,0.4697410581228076
256,2,תרנגולת,0.468098877610874
257,2,ישרפו,0.4680637172969309
258,2,ונראה,0.46692180803483135
259,2,שש,0.464531869467834
260,2,חולה,0.46399646969724256
261,2,ציציתו,0.4630598492347335
262,2,האוצר,0.4626583739248358
263,2,צמר,0.4625018701927346
264,2,שחסרו,0.4621545478789277
265,2,והולך,0.46172933762825524
266,2,קדושה,0.4608632154067675
267,2,שהיה,0.46027943079798017
268,2,הואיל,0.45766701345992067
269,2,ימות,0.45752988010401646
270,2,דבר,0.4567204686877147
271,2,במקומו,0.45636898680370264
272,2,בהעלם,0.45622985553363615
273,2,ניתנין,0.455873789332016
274,2,לטומאה,0.45417136770423605
275,2,התפילין,0.45414207532212336
276,2,וטמאה,0.45364550542925214
277,2,ליקח,0.45203353053983364
278,2,עולמים,0.4520003691019634
279,2,הפירות,0.4513970934856823
280,2,וחומר,0.4512577190440114
281,2,ממונה,0.4507932244474747
282,2,ביעור,0.4506064598532609
283,2,ראשונה,0.4503507157220733
284,2,ונמצא,0.45028240514485407
285,2,מדרכי,0.4497053233904878
286,2,שריפה,0.44942990206904826
287,2,תראה,0.44927659113634644
288,2,והיתה,0.4481484009312326
289,2,קיימין,0.44726228940839025
290,2,כתחלה,0.4472499020140731
291,2,במגלה,0.4457631037057113
292,2,לתרומת,0.44530763964779074
293,2,בתים,0.4451967657516203
294,2,ונותנין,0.4449275176856484
295,2,מקודש,0.4447162872855116
296,2,רוחות,0.44423637712761505
297,2,הברכות,0.4433112784659599
298,2,אצ,0.44321892587332745
299,2,להעידן,0.4430323560638195
300,2,מתים,0.4425225375749216
301,2,לישראל,0.44048981657642217
302,2,ששה,0.4404388916605807
303,2,המפטיר,0.4395403786465121
304,2,סיכך,0.43948309411664227
305,2,בידו,0.438981339872475
306,2,הביאה,0.4386408590696547
307,2,כישן,0.43861045400746607
308,2,לעולתו,0.4371377972326213
309,2,טול,0.4366319446297975
310,2,רגליו,0.43590089178191516
311,2,הבן,0.4357542331207214
312,2,הוסיפו,0.43517372456492354
313,2,צורתו,0.4344265656167107
314,2,ואוכל,0.43408002183226535
315,2,לשחוט,0.4332970322387558
316,2,שופת,0.4331194523210291
317,2,עמוד,0.43296128287720903
318,2,חלות,0.43278169240367864
319,2,מקושר,0.432637275969991
320,2,לבד,0.4322489276603995
321,2,מיחם,0.4304956471564541
322,2,בדקה,0.43048797360680424
323,2,תרומה,0.43036809133691184
324,2,אלפים,0.42989878075394067
325,2,ומפני,0.42924629094000555
326,2,שאור,0.4288035879139043
327,2,בקרקע,0.4280286302391193
328,2,מדת,0.4267260518370627
329,2,לארוג,0.4264459815945158
330,2,בא,0.4255477217296596
331,2,נפשות,0.42520857104549764
332,2,מדלגין,0.424812104896216
333,2,בטומאה,0.42394381273987725
334,2,שמע,0.42310511460944056
335,2,השני,0.42297607122554026
336,2,תורין,0.4229099367323687
337,2,נזקק,0.4228371058795101
