,target,feature,weight
0,1,רומ,3.217570613428943
1,1,טור,2.2995288535116045
2,1,יע,2.1468604428474882
3,1,כור,1.9717987017451968
4,1,טוע,1.9288074862429334
5,1,שור,1.8064789678729405
6,1,ירוש,1.6537329263465208
7,1,גור,1.6320474897645216
8,1,עור,1.6183920331228943
9,1,אי,1.5875622629292
10,1,בוא,1.534100459019633
11,1,שורו,1.4194295931560557
12,1,פונ,1.2593508291152176
13,1,נוע,1.222041225925332
14,1,הור,1.1999821573073834
15,1,לוע,1.1822566877229754
16,1,שוק,1.1720972709662645
17,1,סור,1.1681735208786292
18,1,חוצ,1.1079970419042626
19,1,דול,1.0393512170527721
20,1,רוך,1.0335698722444668
21,1,ופ,0.9461149666570363
22,1,פוק,0.9016477554735346
23,1,סורו,0.8874442403533135
24,1,לוף,0.873169439851315
25,1,עו,0.8202046199380902
26,1,טועו,0.8075425218072845
27,1,כורו,0.785067936953067
28,1,מוצ,0.77824004240502
29,1,וד,0.7420337022492878
30,1,דוע,0.7393754613370375
31,1,קו,0.7387300789291567
32,1,בול,0.7328683771334616
33,1,קור,0.7222357375605055
34,1,סוך,0.7193476390322543
35,1,לוש,0.7132241834560928
36,1,כות,0.709518958448344
37,1,תומו,0.7078862673281957
38,1,הוא,0.7000455814168496
39,1,רוץ,0.6873419268729039
40,1,שוע,0.674293046985108
41,1,דופ,0.6648271540074061
42,1,סוס,0.6567537930895334
43,1,כופ,0.6390232473788738
44,1,יסות,0.6297131016024398
45,1,יי,0.625805350347758
46,1,רוע,0.6248261618183967
47,1,ישו,0.6208614870068117
48,1,ינו,0.617823648721744
49,1,ומ,0.6120569971296521
50,1,יף,0.6005266642098981
51,1,חומ,0.6003117866246712
52,1,קוף,0.5839453139174854
53,1,רוב,0.5828687110881575
54,1,דברים,0.5321103871603652
55,1,יקו,0.5255713330904641
56,1,הוד,0.5226917631368219
57,1,נו,0.5110358563568795
58,1,וט,0.4850899998569759
59,1,קוב,0.4670309066776322
60,1,רוה,0.4585181968280631
61,1,שויו,0.45730914278278334
62,1,ים,0.4530264257515249
63,1,אב,0.4450944584654648
64,1,חוהו,0.443250176277408
65,1,או,0.4428313941899844
66,1,תוחו,0.43966633639298813
67,1,לוג,0.4386616652953442
68,1,מוק,0.43389502837292915
69,1,בוז,0.431611867216962
70,1,נוב,0.4217121840868668
71,1,זו,0.4200973339395064
72,1,אמ,0.4191183139859491
73,1,יעו,0.416120366938412
74,1,תוב,0.40813203729496955
75,1,קוד,0.3978831519184414
76,1,קוח,0.3900139709706997
77,1,יסו,0.3819641608382635
78,1,פוץ,0.377906349236036
79,1,ירוס,0.3736758104354356
80,1,נותו,0.3705313624146444
81,1,קומ,0.36350856786791014
82,1,יפו,0.3594844934053725
83,1,פוס,0.35878474902705976
84,1,רוף,0.3496772922977991
85,1,רוג,0.3491036941222725
86,1,נויו,0.34217622837511824
87,1,פוהו,0.3414998235067675
88,1,שך,0.33519856412080745
89,1,ובו,0.3348260801302104
90,1,קומו,0.3344003337807719
91,1,רוח,0.3338904309041589
92,1,רודו,0.319871113782788
93,1,לא,0.311924757137977
94,1,עוע,0.3054525102820495
95,1,יזו,0.29880654251540234
96,1,זוגו,0.28810998587394127
97,1,יפ,0.28751155216215746
98,1,רוחו,0.28296596809706626
99,1,דוי,0.2823481496943846
100,1,תהלים,0.280060527653941
101,1,שוח,0.2756072804637019
102,1,וק,0.27485408002301015
103,1,מון,0.2732113042484401
104,1,לופ,0.27107664859926034
105,1,ימו,0.26414491594130257
106,1,יום,0.2579073784970718
107,1,יתו,0.254992479014235
108,1,שוד,0.2535244770520273
109,1,וג,0.2527277294911828
110,1,ווי,0.2507196533696086
111,1,ילות,0.2506976751556982
112,1,<BIAS>,0.24159240615752872
113,1,מונ,0.23979824244824383
114,1,הוצ,0.2396195567211201
115,1,פוח,0.239262684618633
116,1,יהוד,0.23109912063157048
117,1,תונ,0.23043433192799298
118,1,דולו,0.22610336538475231
119,1,עוד,0.22413496929101812
120,1,נוז,0.2231265784259958
121,1,ירמיה,0.2150771303956653
122,1,רו,0.20975394952248122
123,1,כג,0.209593810418519
124,1,רוד,0.20658372365227684
125,1,זונ,0.19979912241333445
126,1,בורו,0.19857820354362002
127,1,זור,0.19857721865027544
128,1,וש,0.19570719356661073
129,1,חור,0.19540656370559634
130,1,צו,0.19508282954549033
131,1,וצ,0.17978648393656171
132,1,מוס,0.17764583909462492
133,1,שמות,0.17633677196639777
134,1,עוק,0.16932313778193472
135,1,תון,0.1612191264542054
136,1,כד,0.15895399638014776
137,1,אג,0.15455949843901234
138,1,גורו,0.15394460176033362
139,1,מועו,0.15213568137236172
140,1,חונ,0.1493440413716367
141,1,צוב,0.1472440952481281
142,1,רופו,0.14248241201819684
143,1,חוי,0.1345469122149879
144,1,נונ,0.12833501995073696
145,1,חוק,0.12470287974880571
146,1,רומו,0.12186325822838091
147,1,מוט,0.11915261439356575
148,1,יץ,0.10963571672412924
149,1,צועו,0.1044573463443855
150,1,סח,0.10292950392387686
151,1,קוט,0.09850317171715171
152,1,מוה,0.09741806410841057
153,1,ול,0.09005388780951436
154,1,שוכ,0.08926654847736454
155,1,טורו,0.0846934337744032
156,1,דוד,0.08049847875743489
157,1,שופ,0.07752459120247798
158,1,חוב,0.06579269262716521
159,1,לומ,0.05899563305507647
160,1,נומ,0.047338240241087216
161,1,לולו,0.0434607854624689
162,1,מוד,0.04329172509917708
163,1,לוד,0.03513343735727717
164,1,כו,0.019171166356020182
165,1,חש,0.014358938092730703
