Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2 
Mishnah Arakhin 1:3,Tosefta Arakhin 1:2,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 2:1-2,Tosefta Arakhin 1:4,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 2:4,Tosefta Arakhin 1:6,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 2:5-6,Tosefta Arakhin 2:1,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 3:2,Tosefta Arakhin 2:5,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 4:2,Tosefta Arakhin 2:7,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 5:1,Tosefta Arakhin 3:2,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 6:2,Tosefta Arakhin 4:3,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 6:3,Tosefta Arakhin 4:3,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 6:5-7:1,Tosefta Arakhin 4:3-4,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 7:1,Tosefta Arakhin 4:5,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 7:3,Tosefta Arakhin 4:6,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 7:4,Tosefta Arakhin 4:6,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:1,Tosefta Arakhin 4:8,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:2,Tosefta Arakhin 4:8,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:3,Tosefta Arakhin 4:9,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:4,Tosefta Arakhin 4:10,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:5,Tosefta Arakhin 4:12,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 8:7,Tosefta Ma'aser Sheni 3:4,mesorat hashas,Mishnah Arakhin,Tosefta Ma'aser Sheni,Mishnah,Tanaitic
Mishnah Arakhin 9:1,Tosefta Arakhin 5:1,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 9:2,Tosefta Arakhin 5:2,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 9:2-3,Tosefta Arakhin 5:5,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Arakhin 9:8,Tosefta Arakhin 5:9,mesorat hashas,Mishnah Arakhin,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Avodah Zarah 1:8,Tosefta Avodah Zarah 2:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 2:2,Tosefta Avodah Zarah 1:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 2:5,Tosefta Parah 10:2,mesorat hashas,Mishnah Avodah Zarah,Tosefta Parah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:3,Tosefta Avodah Zarah 6:1,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:3,Tosefta Avodah Zarah 4:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:4,Tosefta Avodah Zarah 6:2,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:6,Tosefta Zavim 5:6,mesorat hashas,Mishnah Avodah Zarah,Tosefta Zavim,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:8,Tosefta Avodah Zarah 7:4,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 3:9,Tosefta Orlah 1:7,,Mishnah Avodah Zarah,Tosefta Orlah,Mishnah,Tanaitic
Mishnah Avodah Zarah 4:12,Tosefta Avodah Zarah 8:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 4:2,Tosefta Temurah 4:1,mesorat hashas,Mishnah Avodah Zarah,Tosefta Temurah,Mishnah,Tanaitic
Mishnah Avodah Zarah 4:2,Tosefta Avodah Zarah 7:6,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 4:7,Tosefta Avodah Zarah 7:3,mesorat hashas,Mishnah Avodah Zarah,Tosefta Avodah Zarah,Mishnah,Tanaitic
Mishnah Avodah Zarah 5:9,Tosefta Uktsin 3:7,mesorat hashas,Mishnah Avodah Zarah,Tosefta Uktsin,Mishnah,Tanaitic
Mishnah Bava Batra 10:1,Tosefta Bava Batra 11:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 10:5,Tosefta Bava Metzia 1:9,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Batra 10:5,Tosefta Bava Metzia 1:10,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Batra 10:7,Tosefta Bava Batra 11:7,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 10:7,Tosefta Bava Batra 11:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:1,Tosefta Bava Batra 1:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:1,Tosefta Bava Batra 1:2,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:10,Tosefta Bava Batra 1:7,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:11,Tosefta Bava Batra 1:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:12,Tosefta Bava Batra 1:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:13,Tosefta Bava Batra 1:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:3,Tosefta Bava Batra 1:3,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:5,Tosefta Bava Batra 1:5-6,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 2:6,Tosefta Bava Batra 1:6,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 3:3,Tosefta Bava Batra 2:5,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 3:3,Tosefta Bava Kamma 8:2,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Batra 3:6,Tosefta Bava Batra 2:5,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:3,Tosefta Bava Batra 3:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:3-4,Tosefta Bava Batra 3:3-4,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:5-6,Tosefta Bava Batra 3:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:5-6,Tosefta Bava Batra 4:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:7-8,Tosefta Bava Batra 4:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 4:9,Tosefta Bava Batra 3:7,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:1,Tosefta Bava Batra 3:3,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:1,Tosefta Bava Batra 3:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:1,Tosefta Bava Batra 4:2,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:1,Tosefta Bava Batra 4:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:1,Tosefta Bava Batra 3:4,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:1,Tosefta Bava Batra 4:3,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:3,Tosefta Bava Batra 3:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:3,Tosefta Bava Batra 4:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:5,Tosefta Bava Batra 4:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:5,Tosefta Bava Batra 3:1,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 5:6,Tosefta Bava Metzia 3:9,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Batra 5:8,Tosefta Bava Batra 5:2,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 6:2,Tosefta Bava Batra 6:2,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 6:8,Tosefta Bava Batra 6:7,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 7:1,Tosefta Arakhin 4:5,mesorat hashas,Mishnah Bava Batra,Tosefta Arakhin,Mishnah,Tanaitic
Mishnah Bava Batra 7:2,Tosefta Bava Batra 6:8,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 7:4,Tosefta Bava Batra 6:9,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 8:4,Tosefta Bekhorot 6:9,mesorat hashas,Mishnah Bava Batra,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bava Batra 8:4,Tosefta Bekhorot 6:5,mesorat hashas,Mishnah Bava Batra,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bava Batra 8:5,Tosefta Bava Batra 7:5,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 8:7,Tosefta Ketubot 8:6,mesorat hashas,Mishnah Bava Batra,Tosefta Ketubot,Mishnah,Tanaitic
Mishnah Bava Batra 9:10,Tosefta Bava Batra 10:7,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 9:2,Tosefta Bava Batra 9:3,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 9:6,Tosefta Bava Batra 10:5,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Batra 9:7,Tosefta Bava Batra 10:6,mesorat hashas,Mishnah Bava Batra,Tosefta Bava Batra,Mishnah,Tanaitic
Mishnah Bava Kamma 10:1,Tosefta Bava Kamma 10:11,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 10:10,Tosefta Bava Kamma 11:5,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 10:10,Tosefta Bava Metzia 2:5,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Kamma 10:2,Tosefta Ketubot 3:4,mesorat hashas,Mishnah Bava Kamma,Tosefta Ketubot,Mishnah,Tanaitic
Mishnah Bava Kamma 10:6,Tosefta Bava Kamma 10:14,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 1:2,Tosefta Bava Kamma 1:1,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 1:4,Tosefta Bava Kamma 1:3,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 1:4,Tosefta Bava Kamma 3:1,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 2:1,Tosefta Bava Kamma 1:3,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 2:4,Tosefta Bava Kamma 2:2,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 2:5,Tosefta Bava Kamma 1:7,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 3:6,Tosefta Bava Kamma 2:9,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 3:6-7,Tosefta Bava Kamma 2:9,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 3:8,Tosefta Bava Kamma 3:1,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 3:8-9,Tosefta Bava Kamma 3:4,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 3:9,Tosefta Bava Kamma 3:2,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 4:3,Tosefta Bava Kamma 4:2,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 4:3,Tosefta Bava Kamma 1:1,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 4:6,Tosefta Sanhedrin 12:2,mesorat hashas,Mishnah Bava Kamma,Tosefta Sanhedrin,Mishnah,Tanaitic
Mishnah Bava Kamma 4:6,Tosefta Bava Kamma 4:6,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 4:9,Tosefta Bava Kamma 5:4,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 5:1,Tosefta Bava Kamma 5:8,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 5:2,Tosefta Bava Kamma 5:6,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 5:2-3,Tosefta Bava Kamma 5:5-6,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 5:3,Tosefta Bava Kamma 5:7,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 5:3,Tosefta Bava Kamma 6:13,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 5:6,Tosefta Bava Kamma 6:4,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 6:2,Tosefta Bava Kamma 6:10,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 6:4-5,Tosefta Bava Kamma 6:12,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 6:5,Tosefta Bava Kamma 6:12,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 6:6,Tosefta Bava Kamma 6:13,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 7:4,Tosefta Bava Kamma 7:1,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 9:11,Tosefta Bava Kamma 10:9,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 9:12,Tosefta Bava Kamma 10:9,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 9:2,Tosefta Bava Kamma 10:2,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 9:4,Tosefta Ketubot 8:8,mesorat hashas,Mishnah Bava Kamma,Tosefta Ketubot,Mishnah,Tanaitic
Mishnah Bava Kamma 9:4,Tosefta Bava Kamma 10:3,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 9:5,Tosefta Bava Kamma 10:5,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 9:7-8,Tosefta Bava Kamma 8:3,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Kamma 9:8,Tosefta Bava Kamma 8:3,mesorat hashas,Mishnah Bava Kamma,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Metzia 1:1,Tosefta Bava Metzia 1:1,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 2:11,Tosefta Bava Metzia 2:13,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 2:3,Tosefta Bava Metzia 2:4,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 3:11,Tosefta Meilah 2:5,mesorat hashas,Mishnah Bava Metzia,Tosefta Meilah,Mishnah,Tanaitic
Mishnah Bava Metzia 3:12,Tosefta Bava Kamma 10:15,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Kamma,Mishnah,Tanaitic
Mishnah Bava Metzia 3:3,Tosefta Yevamot 14:3,mesorat hashas,Mishnah Bava Metzia,Tosefta Yevamot,Mishnah,Tanaitic
Mishnah Bava Metzia 3:4,Tosefta Bava Metzia 3:2,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 3:5,Tosefta Bava Metzia 3:2,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 3:7,Tosefta Bava Metzia 3:4,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 4:2,Tosefta Bava Metzia 3:7,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 4:3,Tosefta Bava Metzia 3:8,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 4:5,Tosefta Ma'aser Sheni 3:5,mesorat hashas,Mishnah Bava Metzia,Tosefta Ma'aser Sheni,Mishnah,Tanaitic
Mishnah Bava Metzia 5:5,Tosefta Bava Metzia 5:3,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 5:7,Tosefta Bava Metzia 6:1,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 6:1,Tosefta Bava Metzia 7:1,,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 6:5,Tosefta Bava Metzia 7:6,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 7:10,Tosefta Bava Metzia 8:6,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 7:5,Tosefta Bava Metzia 8:4,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 7:9,Tosefta Bava Metzia 8:6,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 8:1,Tosefta Bava Metzia 8:8,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 8:2,Tosefta Bava Metzia 8:8,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:11,Tosefta Bava Metzia 10:1,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:12,Tosefta Bava Metzia 10:1-2,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:12,Tosefta Shevuot 6:1,mesorat hashas,Mishnah Bava Metzia,Tosefta Shevuot,Mishnah,Tanaitic
Mishnah Bava Metzia 9:12,Tosefta Bava Metzia 10:2,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:13,Tosefta Bava Metzia 10:3,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:2-3,Tosefta Bava Metzia 9:2,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:3,Tosefta Ketubot 4:10,mesorat hashas,Mishnah Bava Metzia,Tosefta Ketubot,Mishnah,Tanaitic
Mishnah Bava Metzia 9:3-4,Tosefta Bava Metzia 9:5,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:5,Tosefta Bava Metzia 9:5,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:7,Tosefta Bava Metzia 6:3,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Bava Metzia 9:9,Tosefta Bava Metzia 9:11,mesorat hashas,Mishnah Bava Metzia,Tosefta Bava Metzia,Mishnah,Tanaitic
Mishnah Beitzah 1:6,Tosefta Beitsah 1:13,mesorat hashas,Mishnah Beitzah,Tosefta Beitsah,Mishnah,Tanaitic
Mishnah Beitzah 3:1,Tosefta Beitsah 3:1,mesorat hashas,Mishnah Beitzah,Tosefta Beitsah,Mishnah,Tanaitic
Mishnah Beitzah 3:8,Tosefta Beitsah 3:6,mesorat hashas,Mishnah Beitzah,Tosefta Beitsah,Mishnah,Tanaitic
Mishnah Beitzah 5:2,Tosefta Shabbat 18:17,mesorat hashas,Mishnah Beitzah,Tosefta Shabbat,Mishnah,Tanaitic
Mishnah Beitzah 5:2,Tosefta Beitsah 4:3,mesorat hashas,Mishnah Beitzah,Tosefta Beitsah,Mishnah,Tanaitic
Mishnah Beitzah 5:3,Tosefta Beitsah 4:4,mesorat hashas,Mishnah Beitzah,Tosefta Beitsah,Mishnah,Tanaitic
Mishnah Beitzah 5:5,Tosefta Beitsah 4:7,mesorat hashas,Mishnah Beitzah,Tosefta Beitsah,Mishnah,Tanaitic
Mishnah Beitzah 5:6,Tosefta Beitsah 4:9,mesorat hashas,Mishnah Beitzah,Tosefta Beitsah,Mishnah,Tanaitic
Mishnah Beitzah 5:7,Tosefta Beitsah 4:9,mesorat hashas,Mishnah Beitzah,Tosefta Beitsah,Mishnah,Tanaitic
Mishnah Bekhorot 1:1,Tosefta Bekhorot 1:1,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 1:1,Tosefta Bekhorot 2:1,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 1:2,Tosefta Bekhorot 1:3-4,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 1:2,Tosefta Bekhorot 1:4,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 1:3,Tosefta Bekhorot 1:6,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 1:3,Tosefta Bekhorot 2:5,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 1:4,Tosefta Bekhorot 1:6,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 2:1,Tosefta Bekhorot 1:1,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 2:1,Tosefta Bekhorot 2:1,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 2:3,Tosefta Bekhorot 2:3,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
Mishnah Bekhorot 2:3,Tosefta Chullin 10:1,mesorat hashas,Mishnah Bekhorot,Tosefta Chullin,Mishnah,Tanaitic
Mishnah Bekhorot 2:5-6,Tosefta Bekhorot 2:5,mesorat hashas,Mishnah Bekhorot,Tosefta Bekhorot,Mishnah,Tanaitic
